Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration,Year of Issue (Estimated),Year of Move (Estimated)
1983,M,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1975,M,KENNEWICK,WA,99337,OUT-OF-STATE,E,SURRENDERED,FULL,2026,2018,2025
1988,M,PULLMAN,WA,99163,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1985,M,SNOHOMISH,WA,98296,OUT-OF-STATE,DM,SURRENDERED,FULL,2029,2021,2028
1994,M,LACEY,WA,98516,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1991,M,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1975,M,SEATTLE,WA,98103,OUT-OF-STATE,DM,SURRENDERED,FULL,2027,2019,2026
1988,F,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1977,M,SEQUIM,WA,98382,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1995,M,DES MOINES,WA,98198,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1977,F,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1964,F,LA CONNER,WA,98257,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1983,M,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1980,F,TACOMA,WA,98408,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1990,M,BELLEVUE,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1974,F,TACOMA,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1991,M,MCCHORD AFB,WA,98439,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1996,F,SEABECK,WA,98380,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1992,M,UNIVERSITY PLACE,WA,98467,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1983,M,SEATTLE,WA,98126,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1999,M,KENT,WA,98032,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1992,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1992,F,KENT,WA,98032,OUT-OF-STATE,D,SURRENDERED,NONE,2026,2018,2025
1996,F,TACOMA,WA,98444,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1991,M,SEATTLE,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1989,F,BOTHELL,WA,98011,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1997,F,SILVERDALE,WA,98315,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2028,2020,2027
1987,M,SEATTLE,WA,98106,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1988,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1995,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1987,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1983,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1989,M,MERCER ISLAND,WA,98040,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1995,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2031,2023,2030
1970,F,EVERETT,WA,98201,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1977,F,SEATTLE,WA,98168,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1989,M,LONGVIEW,WA,98632,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1996,M,LACEY,WA,98503,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1994,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1996,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1957,F,EDMONDS,WA,98020,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1969,M,BURIEN,WA,98148,OUT-OF-STATE,D,SURRENDERED,NONE,2027,2019,2026
2000,M,SEATTLE,WA,98116,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1996,F,CARNATION,WA,98014,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1988,M,CAMAS,WA,98607,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1999,M,LYNNWOOD,WA,98037,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1990,M,DUPONT,WA,98327,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
