Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration
1990,F,renton,WA,98055,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1997,F,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1989,F,kirkland,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1994,M,kirkland,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1980,M,seattle,WA,98104,OUT-OF-STATE,D,VALID,FULL,2027
1998,M,seattle,WA,98122,OUT-OF-STATE,D,VALID,FULL,2025
1989,F,seattle,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1991,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1993,F,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1988,F,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1986,M,seattle,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1981,M,federal way,WA,98023,OUT-OF-STATE,D,VALID,FULL,2026
1976,M,shoreline,WA,98155,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1995,M,seattle,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1988,M,seattle,WA,98117,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1988,F,seattle,WA,98199,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1984,M,lake forest park,WA,98155,OUT-OF-STATE,D,VALID,FULL,2024
1989,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1945,M,seattle,WA,98178,OUT-OF-STATE,D,VALID,FULL,2024
1965,M,seattle,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1979,F,seattle,WA,98101,OUT-OF-STATE,D,VALID,FULL,2031
1976,M,seattle,WA,98122,OUT-OF-STATE,D,VALID,FULL,2024
1984,M,bellevue,WA,98005,OUT-OF-STATE,D,VALID,FULL,2025
1987,F,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1977,F,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2027
1989,M,seattle,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1986,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1999,F,seattle,WA,98101,OUT-OF-STATE,D,SUSPENDED,FULL,2025
1984,M,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1991,F,mercer island,WA,98040,OUT-OF-STATE,D,VALID,FULL,2025
1982,F,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1995,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1992,M,seattle,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1983,F,seattle,WA,98109,OUT-OF-STATE,D,VALID,FULL,2024
1977,F,bothell,WA,98011,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1991,M,seattle,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1997,F,redmond,WA,98052,OUT-OF-STATE,D,VALID,FULL,2027
1992,F,renton,WA,98058,OUT-OF-STATE,D,VALID,FULL,2025
1968,M,seattle,WA,98178,OUT-OF-STATE,D,VALID,FULL,2027
1995,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1992,M,bellevue,WA,98006,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1983,M,seattle,WA,98118,OUT-OF-STATE,D,VALID,FULL,2024
1988,F,seattle,WA,98126,OUT-OF-STATE,D,VALID,FULL,2025
1972,F,kirkland,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1989,M,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1993,M,kirkland,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1989,F,seattle,WA,98107,OUT-OF-STATE,D,VALID,FULL,2028
1998,F,seattle,WA,98101,OUT-OF-STATE,D,VALID,FULL,2024
1996,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1975,M,seattle,WA,98108,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1948,M,mercer island,WA,98040,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1990,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1980,F,seattle,WA,98116,OUT-OF-STATE,D,VALID,FULL,2028
1986,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1972,F,seattle,WA,98112,OUT-OF-STATE,D,VALID,FULL,2028
1968,M,seattle,WA,98118,OUT-OF-STATE,D,VALID,FULL,2030
1986,F,seattle,WA,98116,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1984,M,seattle,WA,98122,OUT-OF-STATE,D,VALID,FULL,2026
1985,M,bellevue,WA,98008,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1949,F,seattle,WA,98168,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1996,M,kenmore,WA,98028,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1996,F,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1979,F,mercer island,WA,98040,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1981,M,north bend,WA,98045,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1983,M,seattle,WA,98102,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1997,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1966,M,burien,WA,98168,OUT-OF-STATE,D,VALID,FULL,2029
1982,M,maple valley,WA,98038,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1976,F,seattle,WA,98112,OUT-OF-STATE,D,VALID,FULL,2025
1993,F,seattle,WA,98105,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1991,M,sammamish,WA,98074,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1992,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1974,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1994,F,seattle,WA,98102,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1992,M,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1982,F,seattle,WA,98118,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1975,F,seattle,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1938,F,seattle,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1973,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1990,F,issaquah,WA,98029,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1979,M,seattle,WA,98102,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1990,M,seattle,WA,98108,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1987,F,seattle,WA,98108,OUT-OF-STATE,D,VALID,FULL,2024
1983,M,issaquah,WA,98027,OUT-OF-STATE,D,SUSPENDED,FULL,2028
1988,M,bellevue,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1992,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1987,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1989,F,seattle,WA,98101,OUT-OF-STATE,D,VALID,FULL,2027
1996,F,kenmore,WA,98028,OUT-OF-STATE,D,SURRENDERED,FULL,2030
1985,F,seattle,WA,98144,OUT-OF-STATE,D,SUSPENDED,FULL,2028
1988,F,seattle,WA,98117,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1994,M,seattle,WA,98119,OUT-OF-STATE,D,VALID,FULL,2025
1994,F,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2030
1997,F,seattle,WA,98109,OUT-OF-STATE,D,SUSPENDED,FULL,2028
1973,M,kirkland,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1951,F,redmond,WA,98053,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1988,M,bothell,WA,98012,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1984,M,seattle,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1977,M,bellevue,WA,98008,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1992,F,mercer island,WA,98040,OUT-OF-STATE,D,VALID,FULL,2029
1974,M,federal way,WA,98003,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1976,M,redmond,WA,98052,OUT-OF-STATE,D,SUSPENDED,FULL,2029
1990,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1977,M,mercer island,WA,98040,OUT-OF-STATE,D,VALID,FULL,2030
1996,M,seattle,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1989,M,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1967,F,auburn,WA,98092,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1981,M,auburn,WA,98002,OUT-OF-STATE,D,VALID,FULL,2026
1991,F,kirkland,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1981,M,seattle,WA,98126,OUT-OF-STATE,D,VALID,FULL,2026
1990,M,kirkland,WA,98034,OUT-OF-STATE,D,VALID,FULL,2026
1997,F,redmond,WA,98052,OUT-OF-STATE,D,VALID,FULL,2029
1978,M,clyde hill,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1999,F,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1989,M,seattle,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1993,M,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1992,M,shoreline,WA,98133,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1997,F,seattle,WA,98107,OUT-OF-STATE,D,SUSPENDED,FULL,2026
1980,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
2000,M,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1977,M,seattle,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1969,F,seattle,WA,98117,OUT-OF-STATE,D,VALID,FULL,2025
1989,F,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1994,M,seattle,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1961,M,sammamish,WA,98075,OUT-OF-STATE,D,VALID,FULL,2027
1981,M,federal way,WA,98023,OUT-OF-STATE,D,VALID,FULL,2025
1996,M,seattle,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1984,M,seattle,WA,98115,OUT-OF-STATE,D,VALID,FULL,2025
1992,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1981,F,seattle,WA,98116,OUT-OF-STATE,D,VALID,FULL,2028
1988,M,issaquah,WA,98027,OUT-OF-STATE,D,SURRENDERED,FULL,2030
1984,M,kent,WA,98032,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1997,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1992,M,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1993,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2030
1970,F,seattle,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1987,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1987,M,redmond,WA,98052,OUT-OF-STATE,D,VALID,FULL,2029
1979,M,bellevue,WA,98008,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1979,M,maple valley,WA,98038,OUT-OF-STATE,D,VALID,FULL,2029
1996,M,seattle,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1992,F,lake forest park,WA,98155,OUT-OF-STATE,D,SUSPENDED,FULL,2029
